Calls to fitness,Generation,Best Fitness,Best Individual,Word Percentage,local minimas
43000,127,6847.488416055855,"{'A': 'Y', 'B': 'X', 'C': 'I', 'D': 'N', 'E': 'T', 'F': 'O', 'G': 'Q', 'H': 'Z', 'I': 'C', 'J': 'E', 'K': 'B', 'L': 'L', 'M': 'D', 'N': 'U', 'O': 'K', 'P': 'M', 'Q': 'S', 'R': 'V', 'S': 'P', 'T': 'J', 'U': 'R', 'V': 'H', 'W': 'W', 'X': 'G', 'Y': 'A', 'Z': 'F', 'word_percent': 0.9953314659197012, 'fitness': 6847.488416055855}",0.9953314659197012,2
99800,254,6877.488775911699,"{'A': 'Y', 'B': 'X', 'C': 'I', 'D': 'N', 'E': 'T', 'F': 'O', 'G': 'Q', 'H': 'J', 'I': 'C', 'J': 'E', 'K': 'B', 'L': 'L', 'M': 'D', 'N': 'U', 'O': 'K', 'P': 'M', 'Q': 'S', 'R': 'V', 'S': 'P', 'T': 'Z', 'U': 'R', 'V': 'H', 'W': 'W', 'X': 'G', 'Y': 'A', 'Z': 'F', 'word_percent': 0.9981325863678805, 'fitness': 6877.488775911699}",0.9981325863678805,2
40800,136,6896.488416055854,"{'A': 'Y', 'B': 'X', 'C': 'I', 'D': 'N', 'E': 'T', 'F': 'O', 'G': 'Z', 'H': 'J', 'I': 'C', 'J': 'E', 'K': 'B', 'L': 'L', 'M': 'D', 'N': 'U', 'O': 'K', 'P': 'M', 'Q': 'S', 'R': 'V', 'S': 'P', 'T': 'Q', 'U': 'R', 'V': 'H', 'W': 'W', 'X': 'G', 'Y': 'A', 'Z': 'F', 'word_percent': 1.0, 'fitness': 6896.488416055854}",1.0,0
141200,300,2333.736028189329,"{'A': 'C', 'B': 'Q', 'C': 'I', 'D': 'S', 'E': 'F', 'F': 'N', 'G': 'H', 'H': 'X', 'I': 'G', 'J': 'Y', 'K': 'B', 'L': 'U', 'M': 'K', 'N': 'W', 'O': 'P', 'P': 'V', 'Q': 'T', 'R': 'D', 'S': 'J', 'T': 'Z', 'U': 'E', 'V': 'L', 'W': 'M', 'X': 'R', 'Y': 'A', 'Z': 'O', 'word_percent': 0.2857142857142857, 'fitness': 2333.736028189329}",0.2857142857142857,3
97900,264,6896.488416055854,"{'A': 'Y', 'B': 'X', 'C': 'I', 'D': 'N', 'E': 'T', 'F': 'O', 'G': 'Z', 'H': 'J', 'I': 'C', 'J': 'E', 'K': 'B', 'L': 'L', 'M': 'D', 'N': 'U', 'O': 'K', 'P': 'M', 'Q': 'S', 'R': 'V', 'S': 'P', 'T': 'Q', 'U': 'R', 'V': 'H', 'W': 'W', 'X': 'G', 'Y': 'A', 'Z': 'F', 'word_percent': 1.0, 'fitness': 6896.488416055854}",1.0,0
86200,224,6152.466021216716,"{'A': 'Y', 'B': 'X', 'C': 'I', 'D': 'N', 'E': 'T', 'F': 'O', 'G': 'P', 'H': 'J', 'I': 'C', 'J': 'E', 'K': 'B', 'L': 'L', 'M': 'D', 'N': 'U', 'O': 'K', 'P': 'M', 'Q': 'S', 'R': 'V', 'S': 'Q', 'T': 'Z', 'U': 'R', 'V': 'H', 'W': 'W', 'X': 'G', 'Y': 'A', 'Z': 'F', 'word_percent': 0.9178338001867413, 'fitness': 6152.466021216716}",0.9178338001867413,1
72000,193,6877.488775911699,"{'A': 'Y', 'B': 'X', 'C': 'I', 'D': 'N', 'E': 'T', 'F': 'O', 'G': 'Q', 'H': 'J', 'I': 'C', 'J': 'E', 'K': 'B', 'L': 'L', 'M': 'D', 'N': 'U', 'O': 'K', 'P': 'M', 'Q': 'S', 'R': 'V', 'S': 'P', 'T': 'Z', 'U': 'R', 'V': 'H', 'W': 'W', 'X': 'G', 'Y': 'A', 'Z': 'F', 'word_percent': 0.9981325863678805, 'fitness': 6877.488775911699}",0.9981325863678805,4
50500,152,6847.488416055855,"{'A': 'Y', 'B': 'X', 'C': 'I', 'D': 'N', 'E': 'T', 'F': 'O', 'G': 'Q', 'H': 'Z', 'I': 'C', 'J': 'E', 'K': 'B', 'L': 'L', 'M': 'D', 'N': 'U', 'O': 'K', 'P': 'M', 'Q': 'S', 'R': 'V', 'S': 'P', 'T': 'J', 'U': 'R', 'V': 'H', 'W': 'W', 'X': 'G', 'Y': 'A', 'Z': 'F', 'word_percent': 0.9953314659197012, 'fitness': 6847.488416055855}",0.9953314659197012,2
40100,103,6896.488416055854,"{'A': 'Y', 'B': 'X', 'C': 'I', 'D': 'N', 'E': 'T', 'F': 'O', 'G': 'Z', 'H': 'J', 'I': 'C', 'J': 'E', 'K': 'B', 'L': 'L', 'M': 'D', 'N': 'U', 'O': 'K', 'P': 'M', 'Q': 'S', 'R': 'V', 'S': 'P', 'T': 'Q', 'U': 'R', 'V': 'H', 'W': 'W', 'X': 'G', 'Y': 'A', 'Z': 'F', 'word_percent': 1.0, 'fitness': 6896.488416055854}",1.0,2
33600,111,6597.501091296312,"{'A': 'Y', 'B': 'X', 'C': 'I', 'D': 'N', 'E': 'T', 'F': 'O', 'G': 'W', 'H': 'Z', 'I': 'C', 'J': 'E', 'K': 'B', 'L': 'L', 'M': 'D', 'N': 'U', 'O': 'K', 'P': 'M', 'Q': 'S', 'R': 'V', 'S': 'P', 'T': 'Q', 'U': 'R', 'V': 'H', 'W': 'J', 'X': 'G', 'Y': 'A', 'Z': 'F', 'word_percent': 0.934640522875817, 'fitness': 6597.501091296312}",0.934640522875817,1
