Run Time,Generations,Train Accuracy,Test Accuracy
15.998935222625732,238,0.9277,0.92825
10.335580348968506,173,0.9306,0.92475
19.8433198928833,287,0.9866,0.9825
10.622582912445068,165,0.9096,0.904
8.890033721923828,177,0.9267,0.92575
13.423637390136719,257,0.9896,0.98725
3.4459850788116455,76,0.849,0.8445
4.5242884159088135,102,0.8742,0.86475
12.633983850479126,287,0.9362,0.92725
14.6462242603302,287,0.9888,0.987
5.595809698104858,137,0.9312,0.92575
10.101900577545166,190,0.9418,0.93925
13.245368003845215,215,0.9169,0.91125
7.2403247356414795,152,0.9251,0.92325
10.07795763015747,259,0.9848,0.98125
4.708614826202393,97,0.924,0.92575
3.771615505218506,99,0.8444,0.8455
13.193325757980347,0,0.9872,0.98575
8.88735294342041,195,0.9789,0.97825
12.973523139953613,0,0.9881,0.98475
3.596270799636841,84,0.8914,0.89525
13.90225887298584,0,0.9669,0.9605
10.292607069015503,211,0.9872,0.9855
9.928777933120728,193,0.9839,0.9805
9.55453085899353,208,0.9884,0.986
10.830243349075317,262,0.9332,0.93325
6.197394371032715,174,0.947,0.94275
8.474465131759644,221,0.9673,0.967
11.920157670974731,0,0.9367,0.93325
9.451832056045532,211,0.9788,0.974
5.8866050243377686,138,0.9676,0.96025
6.866403341293335,189,0.9742,0.9715
9.179416179656982,258,0.9376,0.9325
9.38468623161316,263,0.982,0.98075
10.159941911697388,0,0.9613,0.96025
7.406386613845825,187,0.9622,0.9615
12.637068510055542,0,0.9329,0.92475
10.494597673416138,276,0.9506,0.94625
6.001683473587036,169,0.9787,0.97525
5.486279249191284,148,0.8484,0.843
4.819484710693359,133,0.9152,0.89875
5.451701879501343,155,0.9721,0.9715
7.794335842132568,183,0.9427,0.9385
7.236868619918823,210,0.9473,0.9435
5.486334562301636,162,0.8682,0.86625
5.173263311386108,140,0.8446,0.843
6.143639802932739,155,0.9532,0.95075
4.3816750049591064,110,0.9275,0.92625
8.695159673690796,190,0.9328,0.92375
8.762677431106567,203,0.8822,0.87225
3.924797773361206,97,0.9179,0.9095
4.876463413238525,124,0.9133,0.90825
11.583009481430054,0,0.8982,0.89025
6.566045761108398,174,0.9035,0.899
7.163438558578491,198,0.9879,0.987
5.877109050750732,166,0.9321,0.93075
10.487351417541504,0,0.9896,0.98725
11.723958969116211,0,0.9779,0.9735
5.8484578132629395,150,0.9546,0.95175
5.544072151184082,142,0.923,0.922
7.298812627792358,184,0.9799,0.9785
9.786381721496582,256,0.989,0.98725
6.155300855636597,170,0.9871,0.98325
5.931006908416748,157,0.9347,0.93175
9.69309687614441,251,0.9746,0.97
5.8549065589904785,164,0.9891,0.9865
10.562974214553833,286,0.9558,0.94975
6.302556753158569,142,0.9218,0.91925
12.476034164428711,262,0.9163,0.913
3.974621057510376,89,0.9638,0.96225
4.9877471923828125,150,0.9104,0.90175
6.489987373352051,197,0.8994,0.89425
6.450845956802368,194,0.9419,0.933
10.610584497451782,0,0.9549,0.9475
10.783589601516724,278,0.9762,0.9745
7.163599014282227,212,0.8927,0.8895
8.921421766281128,269,0.9897,0.98725
8.114879608154297,219,0.936,0.93075
6.858193874359131,168,0.9389,0.93275
10.043616533279419,250,0.975,0.96625
6.685882329940796,167,0.8819,0.869
7.3046228885650635,209,0.9897,0.98725
10.990524768829346,0,0.9849,0.98
10.728762149810791,275,0.9347,0.92675
5.414761066436768,146,0.877,0.865
9.46571946144104,263,0.9427,0.94175
7.939466238021851,219,0.9636,0.958
4.757066965103149,140,0.9674,0.95975
10.33269715309143,0,0.9897,0.98725
5.6490702629089355,161,0.9601,0.95375
4.115766763687134,118,0.9253,0.921
2.7105586528778076,75,0.8239,0.819
7.011049032211304,189,0.9815,0.979
11.083432674407959,0,0.9734,0.9685
10.691630840301514,0,0.9819,0.98
10.461797714233398,273,0.9751,0.9715
4.694058179855347,130,0.919,0.914
1.790734052658081,50,0.7532,0.75025
6.077065706253052,144,0.93,0.92475
4.669277906417847,127,0.9025,0.906
