Run Time,Generations,Train Accuracy,Test Accuracy
55.66027092933655,144,0.9897,0.98725
73.05066657066345,159,0.9897,0.987
57.766775608062744,133,0.9897,0.98725
55.85858488082886,121,0.9861,0.98325
75.80142068862915,156,0.9897,0.987
75.80646276473999,140,0.9897,0.98725
63.94727110862732,141,0.9897,0.98725
64.50094985961914,138,0.9897,0.98725
74.58175277709961,161,0.9897,0.98725
70.802086353302,150,0.9897,0.98725
68.47051239013672,139,0.9897,0.98725
69.8824532032013,157,0.9897,0.98725
58.65117168426514,134,0.9897,0.98725
74.44213843345642,161,0.9897,0.98725
65.29496574401855,145,0.9897,0.98725
66.00057101249695,148,0.9897,0.98725
80.24464082717896,184,0.9897,0.98725
53.70591759681702,116,0.9897,0.98725
66.50031447410583,143,0.9897,0.98725
61.57390594482422,136,0.9897,0.98675
56.24886202812195,125,0.9897,0.98725
61.386566400527954,135,0.9897,0.98725
69.3464424610138,153,0.9897,0.98725
59.32232046127319,133,0.9897,0.98725
75.31991028785706,161,0.9897,0.98725
97.30373215675354,211,0.9897,0.98725
79.71832132339478,171,0.9897,0.98675
67.22012305259705,142,0.9897,0.987
69.04006600379944,147,0.9897,0.98725
83.85155606269836,159,0.9897,0.987
66.86541604995728,142,0.9897,0.98725
81.71976447105408,179,0.9897,0.98725
55.4023015499115,123,0.9897,0.98725
62.49175500869751,134,0.9897,0.98725
54.015965938568115,123,0.9897,0.98725
62.34494113922119,139,0.9897,0.98725
61.66451072692871,138,0.9897,0.987
64.13452076911926,141,0.9897,0.98725
62.45495057106018,135,0.9897,0.98725
75.860915184021,158,0.9897,0.98725
72.06851816177368,155,0.9897,0.98725
73.52383041381836,160,0.9897,0.987
66.17991375923157,148,0.9897,0.98725
74.95519232749939,165,0.9897,0.98725
65.83781313896179,133,0.9897,0.98725
72.29800462722778,153,0.9897,0.98725
80.00995516777039,173,0.9897,0.98725
48.28866672515869,104,0.9873,0.98575
73.17436194419861,147,0.9897,0.98725
64.98126912117004,142,0.9897,0.98725
58.588860511779785,118,0.9897,0.98725
66.94347882270813,151,0.9897,0.98725
54.93204307556152,124,0.9897,0.98725
52.74699401855469,119,0.9897,0.98725
70.7683961391449,163,0.9897,0.98725
68.29924321174622,156,0.9897,0.98725
61.06280517578125,141,0.9897,0.98725
66.65877604484558,152,0.9897,0.98725
67.00121808052063,152,0.9897,0.98725
69.84659671783447,160,0.9897,0.98725
67.55282592773438,157,0.9897,0.98725
67.6384379863739,158,0.9897,0.98675
57.447471141815186,130,0.9897,0.987
60.90494084358215,139,0.9897,0.98725
80.78016471862793,182,0.9897,0.98725
59.216646909713745,136,0.9897,0.98725
62.15696930885315,141,0.9897,0.98725
73.78672337532043,167,0.9897,0.98725
63.47315335273743,145,0.9897,0.98725
48.1467387676239,111,0.9897,0.98725
69.148122549057,157,0.9897,0.98725
70.46899724006653,158,0.9897,0.98725
82.45663142204285,159,0.9897,0.98725
48.17372679710388,101,0.9897,0.98725
73.0808162689209,167,0.9897,0.98725
72.21983885765076,160,0.9897,0.98725
66.03234529495239,146,0.9897,0.987
65.47872257232666,155,0.9897,0.98725
48.967973947525024,126,0.9897,0.987
75.00413107872009,175,0.9897,0.987
75.90016913414001,191,0.9897,0.98725
58.43141150474548,148,0.9897,0.98725
62.52001714706421,155,0.9897,0.98725
62.59430503845215,152,0.9891,0.986
52.731651306152344,137,0.9897,0.98725
61.27615141868591,160,0.9897,0.98725
64.28028345108032,166,0.9897,0.98725
54.60952544212341,137,0.9897,0.98725
58.362541913986206,147,0.9897,0.98725
62.4613995552063,161,0.9897,0.98725
26.78265643119812,67,0.9343,0.9275
56.46046543121338,148,0.9897,0.987
61.647756814956665,160,0.9897,0.98725
42.06141233444214,107,0.9897,0.98725
61.89061665534973,157,0.9897,0.98725
59.40781307220459,152,0.9897,0.98725
54.09054470062256,142,0.9897,0.98725
61.12919211387634,159,0.9897,0.98725
71.79291939735413,189,0.9897,0.98725
54.960899353027344,142,0.9896,0.98725
